"date","week","light","area","plant","height","diameter1","diameter2","number_leaves","length_leaves","number_flowers"
2021-04-28,1,"FL","1FL","11FL",3,6,6,2,2,0
2021-04-28,1,"FL","1FL","21FL",5,5,6,3,2,0
2021-04-28,1,"FL","1FL","31FL",2,7,8,4,1,0
2021-04-28,1,"FL","1FL","41FL",2,8,7,2,3,0
2021-04-28,1,"FL","2FL","12FL",4,8,7,3,2,0
2021-04-28,1,"FL","2FL","22FL",5,9,6,5,2,0
2021-04-28,1,"FL","2FL","32FL",4,9,5,4,2,0
2021-04-28,1,"FL","2FL","42FL",4,5,5,5,1,0
2021-04-28,1,"FL","3FL","13FL",2,6,8,5,1,0
2021-04-28,1,"FL","3FL","23FL",3,5,7,4,2,0
2021-04-28,1,"FL","3FL","33FL",2,7,5,3,2,0
2021-04-28,1,"FL","3FL","43FL",3,9,4,3,3,0
2021-04-28,1,"FL","4FL","14FL",3,7,5,3,1,0
2021-04-28,1,"FL","4FL","24FL",4,7,7,3,3,0
2021-04-28,1,"FL","4FL","34FL",4,6,6,2,2,0
2021-04-28,1,"FL","4FL","44FL",3,6,4,3,3,0
2021-04-28,1,"SH30","1SH30","11SH30",5,5,6,5,2,0
2021-04-28,1,"SH30","1SH30","21SH30",4,7,7,3,2,0
2021-04-28,1,"SH30","1SH30","31SH30",3,8,8,3,2,0
2021-04-28,1,"SH30","1SH30","41SH30",3,9,8,2,4,0
2021-04-28,1,"SH30","2SH30","12SH30",6,6,9,5,2,0
2021-04-28,1,"SH30","2SH30","22SH30",5,6,5,3,2,0
2021-04-28,1,"SH30","2SH30","32SH30",3,7,6,3,3,0
2021-04-28,1,"SH30","2SH30","42SH30",4,4,7,3,1,0
2021-04-28,1,"SH30","3SH30","13SH30",6,5,5,5,2,0
2021-04-28,1,"SH30","3SH30","23SH30",5,6,6,3,3,0
2021-04-28,1,"SH30","3SH30","33SH30",3,7,9,4,2,0
2021-04-28,1,"SH30","3SH30","43SH30",4,7,7,2,2,0
2021-04-28,1,"SH30","4SH30","14SH30",5,6,6,2,2,0
2021-04-28,1,"SH30","4SH30","24SH30",3,7,8,3,2,0
2021-04-28,1,"SH30","4SH30","34SH30",3,6,5,4,2,0
2021-04-28,1,"SH30","4SH30","44SH30",2,7,6,3,3,0
2021-04-28,1,"HSH60","1HSH60","11HSH60",3,8,7,3,3,0
2021-04-28,1,"HSH60","1HSH60","21HSH60",2,8,4,3,2,0
2021-04-28,1,"HSH60","1HSH60","31HSH60",2,7,7,2,3,0
2021-04-28,1,"HSH60","1HSH60","41HSH60",2,6,6,2,3,0
2021-04-28,1,"HSH60","2HSH60","12HSH60",4,5,9,4,2,0
2021-04-28,1,"HSH60","2HSH60","22HSH60",3,4,6,3,3,0
2021-04-28,1,"HSH60","2HSH60","32HSH60",2,4,7,2,3,0
2021-04-28,1,"HSH60","2HSH60","42HSH60",3,6,7,3,3,0
2021-04-28,1,"HSH60","3HSH60","13HSH60",5,6,6,5,2,0
2021-04-28,1,"HSH60","3HSH60","23HSH60",6,7,9,4,2,0
2021-04-28,1,"HSH60","3HSH60","33HSH60",4,7,8,3,3,0
2021-04-28,1,"HSH60","3HSH60","43HSH60",2,5,7,2,2,0
2021-04-28,1,"HSH60","4HSH60","14HSH60",4,4,7,2,2,0
2021-04-28,1,"HSH60","4HSH60","24HSH60",2,5,8,3,1,0
2021-04-28,1,"HSH60","4HSH60","34HSH60",2,5,8,2,4,0
2021-04-28,1,"HSH60","4HSH60","44HSH60",3,5,7,2,3,0
2021-04-28,1,"SH60","1SH60","11SH60",4,8,6,4,2,0
2021-04-28,1,"SH60","1SH60","21SH60",3,7,8,4,3,0
2021-04-28,1,"SH60","1SH60","31SH60",4,9,9,3,2,0
2021-04-28,1,"SH60","1SH60","41SH60",4,9,9,3,2,0
2021-04-28,1,"SH60","2SH60","12SH60",2,4,9,5,2,0
2021-04-28,1,"SH60","2SH60","22SH60",4,8,5,3,3,0
2021-04-28,1,"SH60","2SH60","32SH60",3,7,6,3,3,0
2021-04-28,1,"SH60","2SH60","42SH60",3,9,9,4,3,0
2021-04-28,1,"SH60","3SH60","13SH60",6,6,9,5,2,0
2021-04-28,1,"SH60","3SH60","23SH60",5,5,6,6,2,0
2021-04-28,1,"SH60","3SH60","33SH60",2,6,9,3,2,0
2021-04-28,1,"SH60","3SH60","43SH60",2,4,5,6,3,0
2021-04-28,1,"SH60","4SH60","14SH60",5,5,6,3,2,0
2021-04-28,1,"SH60","4SH60","24SH60",3,6,7,4,3,0
2021-04-28,1,"SH60","4SH60","34SH60",3,6,5,2,3,0
2021-04-28,1,"SH60","4SH60","44SH60",4,8,9,3,4,0
2021-05-14,2,"FL","1FL","11FL",28,39,28,66,7,0
2021-05-14,2,"FL","1FL","21FL",30,31,25,73,6,0
2021-05-14,2,"FL","1FL","31FL",28,34,20,71,7,0
2021-05-14,2,"FL","1FL","41FL",29,31,24,75,6,0
2021-05-14,2,"FL","2FL","12FL",29,37,16,76,7,0
2021-05-14,2,"FL","2FL","22FL",30,30,20,81,7,0
2021-05-14,2,"FL","2FL","32FL",28,23,24,83,12,0
2021-05-14,2,"FL","2FL","42FL",29,37,22,76,8,0
2021-05-14,2,"FL","3FL","13FL",35,32,30,66,8,0
2021-05-14,2,"FL","3FL","23FL",29,35,27,72,8,0
2021-05-14,2,"FL","3FL","33FL",28,28,22,65,6,0
2021-05-14,2,"FL","3FL","43FL",21,26,25,72,5,0
2021-05-14,2,"FL","4FL","14FL",30,27,21,62,7,0
2021-05-14,2,"FL","4FL","24FL",34,30,21,62,7,0
2021-05-14,2,"FL","4FL","34FL",30,30,23,52,5,0
2021-05-14,2,"FL","4FL","44FL",30,29,22,52,6,0
2021-05-14,2,"SH30","1SH30","11SH30",20,22,28,28,5,0
2021-05-14,2,"SH30","1SH30","21SH30",38,52,18,20,8,0
2021-05-14,2,"SH30","1SH30","31SH30",33,46,23,44,8,0
2021-05-14,2,"SH30","1SH30","41SH30",23,25,20,45,8,0
2021-05-14,2,"SH30","2SH30","12SH30",20,43,45,62,7,0
2021-05-14,2,"SH30","2SH30","22SH30",20,29,24,38,6,0
2021-05-14,2,"SH30","2SH30","32SH30",26,55,50,60,7,0
2021-05-14,2,"SH30","2SH30","42SH30",9,20,22,35,5,0
2021-05-14,2,"SH30","3SH30","13SH30",34,39,45,60,7,0
2021-05-14,2,"SH30","3SH30","23SH30",30,40,34,50,6,0
2021-05-14,2,"SH30","3SH30","33SH30",20,40,44,45,11,0
2021-05-14,2,"SH30","3SH30","43SH30",13,32,16,42,12,0
2021-05-14,2,"SH30","4SH30","14SH30",18,28,20,45,7,0
2021-05-14,2,"SH30","4SH30","24SH30",24,36,21,40,6,0
2021-05-14,2,"SH30","4SH30","34SH30",25,30,21,40,9,0
2021-05-14,2,"SH30","4SH30","44SH30",38,29,26,50,6,0
2021-05-14,2,"HSH60","1HSH60","11HSH60",30,30,27,55,6,0
2021-05-14,2,"HSH60","1HSH60","21HSH60",14,37,41,62,8,0
2021-05-14,2,"HSH60","1HSH60","31HSH60",20,32,23,52,8,0
2021-05-14,2,"HSH60","1HSH60","41HSH60",21,19,20,75,5,0
2021-05-14,2,"HSH60","2HSH60","12HSH60",32,20,10,30,7,0
2021-05-14,2,"HSH60","2HSH60","22HSH60",18,37,13,23,6,0
2021-05-14,2,"HSH60","2HSH60","32HSH60",36,30,46,62,8,0
2021-05-14,2,"HSH60","2HSH60","42HSH60",20,40,20,42,5,0
2021-05-14,2,"HSH60","3HSH60","13HSH60",27,38,47,62,6,0
2021-05-14,2,"HSH60","3HSH60","23HSH60",20,45,32,52,7,0
2021-05-14,2,"HSH60","3HSH60","33HSH60",20,38,35,42,5,0
2021-05-14,2,"HSH60","3HSH60","43HSH60",25,20,36,43,8,0
2021-05-14,2,"HSH60","4HSH60","14HSH60",22,34,21,33,5,0
2021-05-14,2,"HSH60","4HSH60","24HSH60",16,26,24,41,6,0
2021-05-14,2,"HSH60","4HSH60","34HSH60",19,25,34,61,9,0
2021-05-14,2,"HSH60","4HSH60","44HSH60",20,22,33,35,7,0
2021-05-14,2,"SH60","1SH60","11SH60",22,22,18,45,6,0
2021-05-14,2,"SH60","1SH60","21SH60",20,37,29,43,9,0
2021-05-14,2,"SH60","1SH60","31SH60",25,25,16,42,7,0
2021-05-14,2,"SH60","1SH60","41SH60",26,27,22,36,5,0
2021-05-14,2,"SH60","2SH60","12SH60",29,37,22,42,7,0
2021-05-14,2,"SH60","2SH60","22SH60",23,30,11,26,5,0
2021-05-14,2,"SH60","2SH60","32SH60",30,34,15,25,6,0
2021-05-14,2,"SH60","2SH60","42SH60",33,47,20,42,8,0
2021-05-14,2,"SH60","3SH60","13SH60",26,40,21,44,8,0
2021-05-14,2,"SH60","3SH60","23SH60",20,30,23,32,6,0
2021-05-14,2,"SH60","3SH60","33SH60",30,37,20,34,8,0
2021-05-14,2,"SH60","3SH60","43SH60",28,40,34,53,5,0
2021-05-14,2,"SH60","4SH60","14SH60",30,42,33,36,7,0
2021-05-14,2,"SH60","4SH60","24SH60",26,36,21,33,4,0
2021-05-14,2,"SH60","4SH60","34SH60",25,35,30,27,6,0
2021-05-14,2,"SH60","4SH60","44SH60",20,39,29,25,5,0
2021-05-26,3,"FL","1FL","11FL",32,31,41,89,6,0
2021-05-26,3,"FL","1FL","21FL",31,30,35,85,7,0
2021-05-26,3,"FL","1FL","31FL",40,41,39,90,8,0
2021-05-26,3,"FL","1FL","41FL",45,35,45,96,5,0
2021-05-26,3,"FL","2FL","12FL",41,37,49,100,7,0
2021-05-26,3,"FL","2FL","22FL",39,50,50,97,6,0
2021-05-26,3,"FL","2FL","32FL",43,32,44,83,7,0
2021-05-26,3,"FL","2FL","42FL",37,41,39,97,9,0
2021-05-26,3,"FL","3FL","13FL",32,31,45,101,6,0
2021-05-26,3,"FL","3FL","23FL",40,36,47,97,8,0
2021-05-26,3,"FL","3FL","33FL",45,38,50,95,8,0
2021-05-26,3,"FL","3FL","43FL",40,43,41,94,6,0
2021-05-26,3,"FL","4FL","14FL",50,30,42,96,7,0
2021-05-26,3,"FL","4FL","24FL",39,37,44,100,9,0
2021-05-26,3,"FL","4FL","34FL",47,40,49,101,9,0
2021-05-26,3,"FL","4FL","44FL",39,48,51,97,6,0
2021-05-26,3,"SH30","1SH30","11SH30",35,33,40,90,7,0
2021-05-26,3,"SH30","1SH30","21SH30",47,30,31,95,8,4
2021-05-26,3,"SH30","1SH30","31SH30",50,40,53,99,6,5
2021-05-26,3,"SH30","1SH30","41SH30",40,43,41,98,8,2
2021-05-26,3,"SH30","2SH30","12SH30",51,51,52,101,5,4
2021-05-26,3,"SH30","2SH30","22SH30",46,52,53,97,7,0
2021-05-26,3,"SH30","2SH30","32SH30",40,61,47,85,8,4
2021-05-26,3,"SH30","2SH30","42SH30",32,43,49,87,7,0
2021-05-26,3,"SH30","3SH30","13SH30",30,37,38,89,9,7
2021-05-26,3,"SH30","3SH30","23SH30",41,39,39,89,9,4
2021-05-26,3,"SH30","3SH30","33SH30",46,42,40,80,6,4
2021-05-26,3,"SH30","3SH30","43SH30",39,43,45,95,7,0
2021-05-26,3,"SH30","4SH30","14SH30",37,41,43,97,8,2
2021-05-26,3,"SH30","4SH30","24SH30",45,30,37,99,6,1
2021-05-26,3,"SH30","4SH30","34SH30",36,37,35,100,8,4
2021-05-26,3,"SH30","4SH30","44SH30",42,39,33,100,7,0
2021-05-26,3,"HSH60","1HSH60","11HSH60",37,30,20,110,8,3
2021-05-26,3,"HSH60","1HSH60","21HSH60",32,33,31,110,7,3
2021-05-26,3,"HSH60","1HSH60","31HSH60",52,50,43,80,8,0
2021-05-26,3,"HSH60","1HSH60","41HSH60",37,53,40,81,6,4
2021-05-26,3,"HSH60","2HSH60","12HSH60",50,50,60,120,4,0
2021-05-26,3,"HSH60","2HSH60","22HSH60",33,43,41,66,10,6
2021-05-26,3,"HSH60","2HSH60","32HSH60",50,60,42,120,7,4
2021-05-26,3,"HSH60","2HSH60","42HSH60",30,51,46,90,8,0
2021-05-26,3,"HSH60","3HSH60","13HSH60",34,30,31,70,7,3
2021-05-26,3,"HSH60","3HSH60","23HSH60",45,42,37,81,7,3
2021-05-26,3,"HSH60","3HSH60","33HSH60",20,36,25,70,7,0
2021-05-26,3,"HSH60","3HSH60","43HSH60",53,42,38,110,6,0
2021-05-26,3,"HSH60","4HSH60","14HSH60",45,37,29,96,9,0
2021-05-26,3,"HSH60","4HSH60","24HSH60",41,40,30,79,6,0
2021-05-26,3,"HSH60","4HSH60","34HSH60",36,40,25,89,5,2
2021-05-26,3,"HSH60","4HSH60","44HSH60",35,39,32,96,8,0
2021-05-26,3,"SH60","1SH60","11SH60",45,36,35,100,8,0
2021-05-26,3,"SH60","1SH60","21SH60",40,24,19,80,7,0
2021-05-26,3,"SH60","1SH60","31SH60",40,56,56,110,8,0
2021-05-26,3,"SH60","1SH60","41SH60",35,50,49,140,6,2
2021-05-26,3,"SH60","2SH60","12SH60",44,29,23,110,4,3
2021-05-26,3,"SH60","2SH60","22SH60",44,57,43,90,10,0
2021-05-26,3,"SH60","2SH60","32SH60",40,42,60,88,7,3
2021-05-26,3,"SH60","2SH60","42SH60",40,52,35,90,8,3
2021-05-26,3,"SH60","3SH60","13SH60",56,42,37,90,7,0
2021-05-26,3,"SH60","3SH60","23SH60",50,36,20,100,7,3
2021-05-26,3,"SH60","3SH60","33SH60",50,40,42,100,7,0
2021-05-26,3,"SH60","3SH60","43SH60",35,40,44,81,6,3
2021-05-26,3,"SH60","4SH60","14SH60",45,37,45,79,9,0
2021-05-26,3,"SH60","4SH60","24SH60",42,45,29,98,6,0
2021-05-26,3,"SH60","4SH60","34SH60",40,46,37,96,5,0
2021-05-26,3,"SH60","4SH60","44SH60",33,49,33,95,8,2
2021-06-08,4,"FL","1FL","11FL",60,41,45,104,9,3
2021-06-08,4,"FL","1FL","21FL",54,40,42,110,8,4
2021-06-08,4,"FL","1FL","31FL",55,43,51,112,7,7
2021-06-08,4,"FL","1FL","41FL",47,44,52,111,6,7
2021-06-08,4,"FL","2FL","12FL",52,42,50,109,8,2
2021-06-08,4,"FL","2FL","22FL",61,50,44,100,9,3
2021-06-08,4,"FL","2FL","32FL",59,51,47,105,10,4
2021-06-08,4,"FL","2FL","42FL",58,52,56,107,11,2
2021-06-08,4,"FL","3FL","13FL",53,43,60,106,10,2
2021-06-08,4,"FL","3FL","23FL",52,48,54,118,10,3
2021-06-08,4,"FL","3FL","33FL",50,52,57,116,8,4
2021-06-08,4,"FL","3FL","43FL",49,47,53,104,9,4
2021-06-08,4,"FL","4FL","14FL",55,57,59,105,7,7
2021-06-08,4,"FL","4FL","24FL",56,56,45,100,8,7
2021-06-08,4,"FL","4FL","34FL",57,52,49,104,9,5
2021-06-08,4,"FL","4FL","44FL",58,43,51,103,8,6
2021-06-08,4,"SH30","1SH30","11SH30",59,42,47,110,10,4
2021-06-08,4,"SH30","1SH30","21SH30",57,54,43,108,9,5
2021-06-08,4,"SH30","1SH30","31SH30",60,51,59,109,8,6
2021-06-08,4,"SH30","1SH30","41SH30",62,40,57,107,9,2
2021-06-08,4,"SH30","2SH30","12SH30",67,59,49,112,8,4
2021-06-08,4,"SH30","2SH30","22SH30",65,51,48,120,9,4
2021-06-08,4,"SH30","2SH30","32SH30",51,53,57,104,9,0
2021-06-08,4,"SH30","2SH30","42SH30",54,60,62,107,10,6
2021-06-08,4,"SH30","3SH30","13SH30",53,55,63,110,9,4
2021-06-08,4,"SH30","3SH30","23SH30",55,41,68,101,9,4
2021-06-08,4,"SH30","3SH30","33SH30",50,42,67,102,8,0
2021-06-08,4,"SH30","3SH30","43SH30",57,47,58,99,11,4
2021-06-08,4,"SH30","4SH30","14SH30",60,58,54,101,7,2
2021-06-08,4,"SH30","4SH30","24SH30",59,52,52,100,9,4
2021-06-08,4,"SH30","4SH30","34SH30",62,51,61,107,8,4
2021-06-08,4,"SH30","4SH30","44SH30",61,40,60,105,9,4
2021-06-08,4,"HSH60","1HSH60","11HSH60",60,40,50,104,9,5
2021-06-08,4,"HSH60","1HSH60","21HSH60",65,50,55,105,10,7
2021-06-08,4,"HSH60","1HSH60","31HSH60",55,55,65,120,9,4
2021-06-08,4,"HSH60","1HSH60","41HSH60",67,58,52,98,9,3
2021-06-08,4,"HSH60","2HSH60","12HSH60",70,60,53,99,7,4
2021-06-08,4,"HSH60","2HSH60","22HSH60",54,53,57,113,8,3
2021-06-08,4,"HSH60","2HSH60","32HSH60",50,51,57,104,8,5
2021-06-08,4,"HSH60","2HSH60","42HSH60",50,65,59,107,9,2
2021-06-08,4,"HSH60","3HSH60","13HSH60",56,45,65,109,8,2
2021-06-08,4,"HSH60","3HSH60","23HSH60",55,65,60,108,8,4
2021-06-08,4,"HSH60","3HSH60","33HSH60",60,55,62,85,9,2
2021-06-08,4,"HSH60","3HSH60","43HSH60",57,54,59,95,10,4
2021-06-08,4,"HSH60","4HSH60","14HSH60",56,50,57,99,9,5
2021-06-08,4,"HSH60","4HSH60","24HSH60",55,45,61,97,8,4
2021-06-08,4,"HSH60","4HSH60","34HSH60",58,65,62,106,7,5
2021-06-08,4,"HSH60","4HSH60","44HSH60",59,50,60,107,8,6
2021-06-08,4,"SH60","1SH60","11SH60",50,50,45,110,9,8
2021-06-08,4,"SH60","1SH60","21SH60",60,45,50,90,8,7
2021-06-08,4,"SH60","1SH60","31SH60",55,45,59,85,9,3
2021-06-08,4,"SH60","1SH60","41SH60",57,42,56,120,10,3
2021-06-08,4,"SH60","2SH60","12SH60",59,51,60,96,9,7
2021-06-08,4,"SH60","2SH60","22SH60",60,60,61,97,9,4
2021-06-08,4,"SH60","2SH60","32SH60",65,65,60,98,8,4
2021-06-08,4,"SH60","2SH60","42SH60",60,53,45,100,8,4
2021-06-08,4,"SH60","3SH60","13SH60",50,52,67,101,8,6
2021-06-08,4,"SH60","3SH60","23SH60",57,58,40,116,9,5
2021-06-08,4,"SH60","3SH60","33SH60",56,59,55,115,7,6
2021-06-08,4,"SH60","3SH60","43SH60",60,62,64,91,8,0
2021-06-08,4,"SH60","4SH60","14SH60",65,65,51,98,9,6
2021-06-08,4,"SH60","4SH60","24SH60",62,63,49,98,8,7
2021-06-08,4,"SH60","4SH60","34SH60",57,56,59,106,9,5
2021-06-08,4,"SH60","4SH60","44SH60",62,58,61,105,8,6
2021-06-24,5,"FL","1FL","11FL",72,56,50,104,9,2
2021-06-24,5,"FL","1FL","21FL",70,50,51,110,8,0
2021-06-24,5,"FL","1FL","31FL",76,55,55,112,11,3
2021-06-24,5,"FL","1FL","41FL",74,57,55,111,6,3
2021-06-24,5,"FL","2FL","12FL",69,60,49,109,12,5
2021-06-24,5,"FL","2FL","22FL",67,49,58,100,6,0
2021-06-24,5,"FL","2FL","32FL",74,52,56,105,10,5
2021-06-24,5,"FL","2FL","42FL",71,53,60,107,11,4
2021-06-24,5,"FL","3FL","13FL",75,59,60,106,10,0
2021-06-24,5,"FL","3FL","23FL",76,60,59,100,10,6
2021-06-24,5,"FL","3FL","33FL",74,60,60,116,8,6
2021-06-24,5,"FL","3FL","43FL",78,58,62,104,11,0
2021-06-24,5,"FL","4FL","14FL",75,59,50,105,12,4
2021-06-24,5,"FL","4FL","24FL",77,61,55,100,8,0
2021-06-24,5,"FL","4FL","34FL",78,60,54,104,9,0
2021-06-24,5,"FL","4FL","44FL",75,62,57,103,8,0
2021-06-24,5,"SH30","1SH30","11SH30",80,55,57,110,10,7
2021-06-24,5,"SH30","1SH30","21SH30",75,54,53,108,9,5
2021-06-24,5,"SH30","1SH30","31SH30",79,51,60,109,11,6
2021-06-24,5,"SH30","1SH30","41SH30",77,60,57,107,12,5
2021-06-24,5,"SH30","2SH30","12SH30",65,60,59,112,10,8
2021-06-24,5,"SH30","2SH30","22SH30",69,53,58,120,10,5
2021-06-24,5,"SH30","2SH30","32SH30",70,54,56,104,9,5
2021-06-24,5,"SH30","2SH30","42SH30",59,59,60,107,10,5
2021-06-24,5,"SH30","3SH30","13SH30",69,56,61,110,9,7
2021-06-24,5,"SH30","3SH30","23SH30",68,54,60,101,11,6
2021-06-24,5,"SH30","3SH30","33SH30",74,52,54,102,9,7
2021-06-24,5,"SH30","3SH30","43SH30",76,60,63,99,11,8
2021-06-24,5,"SH30","4SH30","14SH30",77,61,60,101,9,6
2021-06-24,5,"SH30","4SH30","24SH30",75,60,59,100,11,5
2021-06-24,5,"SH30","4SH30","34SH30",69,59,63,107,8,6
2021-06-24,5,"SH30","4SH30","44SH30",75,60,59,105,9,6
2021-06-24,5,"HSH60","1HSH60","11HSH60",65,55,52,102,8,5
2021-06-24,5,"HSH60","1HSH60","21HSH60",70,58,61,104,9,3
2021-06-24,5,"HSH60","1HSH60","31HSH60",71,50,53,105,10,3
2021-06-24,5,"HSH60","1HSH60","41HSH60",62,56,62,110,9,5
2021-06-24,5,"HSH60","2HSH60","12HSH60",63,55,55,103,8,4
2021-06-24,5,"HSH60","2HSH60","22HSH60",65,55,58,105,9,5
2021-06-24,5,"HSH60","2HSH60","32HSH60",58,57,60,101,7,4
2021-06-24,5,"HSH60","2HSH60","42HSH60",59,54,57,100,8,3
2021-06-24,5,"HSH60","3HSH60","13HSH60",62,58,60,108,9,2
2021-06-24,5,"HSH60","3HSH60","23HSH60",65,60,55,105,7,2
2021-06-24,5,"HSH60","3HSH60","33HSH60",60,57,54,98,7,1
2021-06-24,5,"HSH60","3HSH60","43HSH60",59,60,63,100,9,2
2021-06-24,5,"HSH60","4HSH60","14HSH60",60,59,61,100,10,3
2021-06-24,5,"HSH60","4HSH60","24HSH60",62,60,54,105,9,4
2021-06-24,5,"HSH60","4HSH60","34HSH60",60,61,50,101,8,5
2021-06-24,5,"HSH60","4HSH60","44HSH60",65,59,67,102,8,5
2021-06-24,5,"SH60","1SH60","11SH60",60,60,58,120,6,3
2021-06-24,5,"SH60","1SH60","21SH60",67,59,54,115,8,2
2021-06-24,5,"SH60","1SH60","31SH60",62,55,54,100,8,4
2021-06-24,5,"SH60","1SH60","41SH60",63,55,55,105,7,3
2021-06-24,5,"SH60","2SH60","12SH60",65,50,50,95,10,5
2021-06-24,5,"SH60","2SH60","22SH60",70,54,54,90,8,3
2021-06-24,5,"SH60","2SH60","32SH60",68,54,55,96,9,3
2021-06-24,5,"SH60","2SH60","42SH60",65,54,61,91,9,6
2021-06-24,5,"SH60","3SH60","13SH60",60,55,55,110,11,3
2021-06-24,5,"SH60","3SH60","23SH60",61,59,52,120,10,4
2021-06-24,5,"SH60","3SH60","33SH60",65,59,59,125,9,2
2021-06-24,5,"SH60","3SH60","43SH60",65,59,58,110,8,3
2021-06-24,5,"SH60","4SH60","14SH60",71,56,55,96,7,1
2021-06-24,5,"SH60","4SH60","24SH60",66,59,57,100,6,1
2021-06-24,5,"SH60","4SH60","34SH60",65,58,59,95,8,2
2021-06-24,5,"SH60","4SH60","44SH60",68,59,58,91,7,1
2021-07-05,6,"FL","1FL","11FL",68,55,50,108,8,5
2021-07-05,6,"FL","1FL","21FL",65,59,52,105,9,0
2021-07-05,6,"FL","1FL","31FL",70,60,50,109,9,0
2021-07-05,6,"FL","1FL","41FL",75,61,54,102,8,0
2021-07-05,6,"FL","2FL","12FL",75,62,56,103,7,0
2021-07-05,6,"FL","2FL","22FL",70,61,55,100,8,0
2021-07-05,6,"FL","2FL","32FL",65,60,54,104,8,0
2021-07-05,6,"FL","2FL","42FL",68,61,58,106,9,4
2021-07-05,6,"FL","3FL","13FL",69,55,60,104,10,0
2021-07-05,6,"FL","3FL","23FL",70,58,61,105,10,4
2021-07-05,6,"FL","3FL","33FL",73,59,59,110,9,0
2021-07-05,6,"FL","3FL","43FL",75,59,58,111,8,0
2021-07-05,6,"FL","4FL","14FL",78,54,56,107,8,3
2021-07-05,6,"FL","4FL","24FL",78,55,60,103,9,0
2021-07-05,6,"FL","4FL","34FL",68,50,57,106,8,0
2021-07-05,6,"FL","4FL","44FL",70,52,55,104,7,0
2021-07-05,6,"SH30","1SH30","11SH30",80,56,54,110,10,0
2021-07-05,6,"SH30","1SH30","21SH30",75,60,59,101,11,0
2021-07-05,6,"SH30","1SH30","31SH30",70,60,58,95,12,0
2021-07-05,6,"SH30","1SH30","41SH30",71,62,60,96,10,0
2021-07-05,6,"SH30","2SH30","12SH30",70,65,60,96,9,0
2021-07-05,6,"SH30","2SH30","22SH30",75,63,59,98,9,0
2021-07-05,6,"SH30","2SH30","32SH30",73,59,61,98,10,0
2021-07-05,6,"SH30","2SH30","42SH30",70,61,62,101,11,0
2021-07-05,6,"SH30","3SH30","13SH30",75,60,59,100,11,0
2021-07-05,6,"SH30","3SH30","23SH30",71,62,60,100,10,0
2021-07-05,6,"SH30","3SH30","33SH30",73,63,58,105,9,0
2021-07-05,6,"SH30","3SH30","43SH30",69,59,62,105,9,0
2021-07-05,6,"SH30","4SH30","14SH30",76,59,59,101,11,0
2021-07-05,6,"SH30","4SH30","24SH30",73,62,57,115,12,0
2021-07-05,6,"SH30","4SH30","34SH30",70,61,57,110,12,0
2021-07-05,6,"SH30","4SH30","44SH30",71,59,60,100,12,0
2021-07-05,6,"HSH60","1HSH60","11HSH60",70,58,58,100,7,1
2021-07-05,6,"HSH60","1HSH60","21HSH60",76,55,59,101,8,3
2021-07-05,6,"HSH60","1HSH60","31HSH60",68,55,55,101,8,1
2021-07-05,6,"HSH60","1HSH60","41HSH60",69,59,56,98,10,1
2021-07-05,6,"HSH60","2HSH60","12HSH60",75,54,58,99,9,2
2021-07-05,6,"HSH60","2HSH60","22HSH60",67,56,57,95,6,1
2021-07-05,6,"HSH60","2HSH60","32HSH60",60,56,59,107,6,1
2021-07-05,6,"HSH60","2HSH60","42HSH60",70,59,60,103,7,2
2021-07-05,6,"HSH60","3HSH60","13HSH60",69,60,59,95,8,1
2021-07-05,6,"HSH60","3HSH60","23HSH60",70,61,61,95,9,0
2021-07-05,6,"HSH60","3HSH60","33HSH60",70,58,58,96,10,0
2021-07-05,6,"HSH60","3HSH60","43HSH60",67,60,59,96,10,0
2021-07-05,6,"HSH60","4HSH60","14HSH60",75,61,60,101,11,0
2021-07-05,6,"HSH60","4HSH60","24HSH60",70,59,58,106,11,0
2021-07-05,6,"HSH60","4HSH60","34HSH60",71,61,61,106,9,0
2021-07-05,6,"HSH60","4HSH60","44HSH60",75,60,60,101,9,0
2021-07-05,6,"SH60","1SH60","11SH60",65,56,58,98,10,1
2021-07-05,6,"SH60","1SH60","21SH60",70,55,54,96,12,0
2021-07-05,6,"SH60","1SH60","31SH60",69,59,59,105,11,0
2021-07-05,6,"SH60","1SH60","41SH60",75,59,60,110,10,1
2021-07-05,6,"SH60","2SH60","12SH60",70,60,60,101,9,0
2021-07-05,6,"SH60","2SH60","22SH60",70,58,58,111,10,1
2021-07-05,6,"SH60","2SH60","32SH60",73,61,55,104,11,0
2021-07-05,6,"SH60","2SH60","42SH60",69,62,56,106,10,1
2021-07-05,6,"SH60","3SH60","13SH60",68,58,57,102,11,0
2021-07-05,6,"SH60","3SH60","23SH60",67,54,60,105,10,2
2021-07-05,6,"SH60","3SH60","33SH60",70,59,58,100,10,2
2021-07-05,6,"SH60","3SH60","43SH60",71,55,56,95,11,0
2021-07-05,6,"SH60","4SH60","14SH60",71,59,60,95,12,0
2021-07-05,6,"SH60","4SH60","24SH60",75,59,59,100,12,0
2021-07-05,6,"SH60","4SH60","34SH60",75,60,59,100,10,0
2021-07-05,6,"SH60","4SH60","44SH60",70,60,60,101,10,0
